sigma_std,noise,seed,phi,phi_tempvar,ar1,real_mean,real_std,frac_lo,frac_hi
0.05,0.5,14,0.9760605843596697,0.00012747641563388087,0.9750158320532077,0.7001236557038207,0.047716682279045845,0.0,0.01
0.05,0.5,15,0.9723417014366692,0.00023243407869233604,0.981667638549322,0.7066528477731154,0.04961825167261132,0.0,0.01
0.05,0.5,16,0.9742827374828409,0.00034943768484072706,0.9900072723289602,0.7006051879465541,0.04568703364996098,0.0,0.01
0.05,0.5,17,0.9790395342853381,7.222570498283575e-5,0.9645532477198615,0.704625542392675,0.056185829886048956,0.0,0.025
0.05,0.5,18,0.9695294027473474,0.000291627057974883,0.9831833362177022,0.7049425612639503,0.04835013840146549,0.0,0.015
0.05,0.5,19,0.9719433554665059,0.00021580221296265252,0.9796530146391128,0.7040612761808955,0.044715753107211244,0.0,0.015
0.05,0.5,20,0.9773740536658132,5.716111515386927e-5,0.9484365104611269,0.6969475379757898,0.049451818626803194,0.0,0.005
0.05,0.7,1,0.9472999788981921,0.0006566166681981527,0.9776990672554505,0.6985493648523426,0.04892814398132513,0.0,0.01
0.05,0.7,2,0.943474547716154,0.0006830413647708921,0.9760945207528342,0.6999080102724617,0.0467312270703716,0.0,0.015
0.05,0.7,3,0.9522823443952413,0.0006028235084379132,0.9799412257991557,0.6986390281913673,0.048783304845327,0.0,0.01
0.05,0.7,4,0.9455740168693938,0.0008320400826645529,0.9817393050362243,0.702069138794076,0.047503646100033256,0.0,0.01
0.05,0.7,5,0.9469853809522991,0.0005924319539725494,0.9745495136265002,0.7040833332364365,0.052978082121730344,0.0,0.035
0.05,0.7,6,0.9498929791670242,0.0005414110149624082,0.9754485702267582,0.6980507548402541,0.053744010005480514,0.0,0.02
0.05,0.7,7,0.9483547323067748,0.0005742507149913074,0.9764274345587797,0.7013046410394153,0.048279440874851344,0.0,0.01
0.05,0.7,8,0.9467145423400337,0.0005793299713619073,0.9745097656944672,0.7054236930877722,0.050273062616138085,0.0,0.01
0.05,0.7,9,0.9463134581148209,0.000586614278064668,0.974822726557121,0.7002325965768991,0.0525547948061999,0.0,0.02
