sigma,seed,step,phi
0.25,1,15301,0.9775821825337879
0.25,1,15351,0.9733529013266015
0.25,1,15401,0.9329955820282804
0.25,1,15451,0.9370933326428508
0.25,1,15501,0.9213508157686717
0.25,1,15551,0.9516329663090605
0.25,1,15601,0.9008043812106611
0.25,1,15651,0.8716500357202708
0.25,1,15701,0.9265159686192889
0.25,1,15751,0.9372449535065095
0.25,1,15801,0.9465729376207408
0.25,1,15851,0.8636552103349068
0.25,1,15901,0.9026359027925593
0.25,1,15951,0.9247465319219644
0.25,1,16001,0.956033008492953
0.25,1,16051,0.9551549957364526
0.25,1,16101,0.9312377390890427
0.25,1,16151,0.962720328664937
0.25,1,16201,0.9754377401636664
0.25,1,16251,0.9549993221306804
0.25,1,16301,0.981258251085629
0.25,1,16351,0.9802302231050908
0.25,1,16401,0.9844045188956912
0.25,1,16451,0.961988454491286
0.25,1,16501,0.9489242974935074
0.25,1,16551,0.9798712206772335
0.25,1,16601,0.9777575828103321
0.25,1,16651,0.975935063335512
0.25,1,16701,0.9775017602873318
0.25,1,16751,0.9822433075498069
0.25,1,16801,0.9513331639073822
0.25,1,16851,0.9817781500040537
0.25,1,16901,0.9776477223921899
0.25,1,16951,0.9704411957683874
0.25,1,17001,0.973376317750499
0.25,1,17051,0.9492282216329301
0.25,1,17101,0.9599722804887769
0.25,1,17151,0.9627306869223828
0.25,1,17201,0.973584031744101
0.25,1,17251,0.9726250771811855
0.25,1,17301,0.9639421466663709
0.25,1,17351,0.9721377971186456
0.25,1,17401,0.9586533749568388
0.25,1,17451,0.9580116429244719
0.25,1,17501,0.948610009810512
0.25,1,17551,0.9248819872121831
0.25,1,17601,0.9464582740011828
0.25,1,17651,0.9562818932886614
0.25,1,17701,0.9379081029913952
0.25,1,17751,0.9686737332667446
0.25,1,17801,0.9487992194941876
0.25,1,17851,0.9709122994988377
0.25,1,17901,0.9516989509184055
0.25,1,17951,0.9302534760039463
0.25,1,18001,0.919585438962335
0.25,1,18051,0.9088411509421812
0.25,1,18101,0.8643675291032865
0.25,1,18151,0.8982633541510006
0.25,1,18201,0.9285787950075868
0.25,1,18251,0.918570975070357
0.25,1,18301,0.9477028437069136
0.25,1,18351,0.9439749020037392
0.25,1,18401,0.9455235562410613
0.25,1,18451,0.9222077098762643
0.25,1,18501,0.9469679590330846
0.25,1,18551,0.945263773452772
0.25,1,18601,0.94729368014929
0.25,1,18651,0.9445153865057017
0.25,1,18701,0.9729288023493813
0.25,1,18751,0.9716191365512588
0.25,1,18801,0.9766608996762787
0.25,1,18851,0.9763423361323827
0.25,1,18901,0.9760338582154773
0.25,1,18951,0.9474955866504052
0.25,1,19001,0.909728712107026
0.25,1,19051,0.9198191781299013
0.25,1,19101,0.9454574503886577
0.25,1,19151,0.9435713214226237
0.25,1,19201,0.937125501461955
0.25,1,19251,0.9359332980714723
0.25,1,19301,0.9461980335897499
0.25,1,19351,0.9034829033155166
0.25,1,19401,0.899981345070364
0.25,1,19451,0.9445103210101758
0.25,1,19501,0.9450177939419915
0.25,1,19551,0.9446261151718179
0.25,1,19601,0.9818606593702696
0.25,1,19651,0.9778423022118138
0.25,1,19701,0.9798680688042465
0.25,1,19751,0.9823105101299325
0.25,1,19801,0.9447361198352364
0.25,1,19851,0.9572597712382335
0.25,1,19901,0.9617179089545675
0.25,1,19951,0.9393039342591776
0.25,1,20001,0.939626094271678
0.25,1,20051,0.9702408215376825
0.25,1,20101,0.9657074966004822
0.25,1,20151,0.9367849792438427
0.25,1,20201,0.9395794408608733
0.25,1,20251,0.9735731019075957
0.25,1,20301,0.9809830028002802
0.25,1,20351,0.9691135585824878
0.25,1,20401,0.9410332601793898
0.25,1,20451,0.9724942903592568
0.25,1,20501,0.9151312986385829
0.25,1,20551,0.9491024937041678
0.25,1,20601,0.8810127621360105
0.25,1,20651,0.9482051167599438
0.25,1,20701,0.9731510113879384
0.25,1,20751,0.9605668332921855
0.25,1,20801,0.9416553121237331
0.25,1,20851,0.9636921201618662
0.25,1,20901,0.9575849087493844
0.25,1,20951,0.9783554644882229
0.25,1,21001,0.970597032613703
0.25,1,21051,0.9711613096113435
0.25,1,21101,0.9514415065941485
0.25,1,21151,0.9518794317271373
0.25,1,21201,0.9535859421706673
0.25,1,21251,0.9598740199759255
0.25,1,21301,0.9664120663514248
0.25,1,21351,0.9621256941353492
0.25,1,21401,0.9627411119477729
0.25,1,21451,0.9526824463100579
0.25,1,21501,0.9087114982182232
0.25,1,21551,0.9230089190447742
0.25,1,21601,0.9345023913878305
0.25,1,21651,0.9017467211229502
0.25,1,21701,0.8533443082174972
0.25,1,21751,0.9122908573126013
0.25,1,21801,0.9782165781957711
0.25,1,21851,0.945484547623603
0.25,1,21901,0.9633847456156982
0.25,1,21951,0.9553443607218487
0.25,1,22001,0.9313432577972302
0.25,1,22051,0.9812314411956292
0.25,1,22101,0.9692369048877973
0.25,1,22151,0.9726422760818847
0.25,1,22201,0.9578966688302866
0.25,1,22251,0.956703756935791
0.25,1,22301,0.9397710133671924
0.25,1,22351,0.920309049014413
0.25,1,22401,0.8887942717037297
0.25,1,22451,0.8458295819381589
0.25,1,22501,0.8887968291796403
0.25,1,22551,0.9273438936150584
0.25,1,22601,0.9675103834582526
0.25,1,22651,0.9627828317546228
0.25,1,22701,0.9418177748914943
0.25,1,22751,0.9462025535268099
0.25,1,22801,0.9646770311794374
0.25,1,22851,0.9676405455880414
0.25,1,22901,0.9844885018498692
0.25,1,22951,0.9268619538250382
0.25,1,23001,0.952915837791565
0.25,1,23051,0.980367893847321
0.25,1,23101,0.9808424241082713
0.25,1,23151,0.9696997611170887
0.25,1,23201,0.9716576400369372
0.25,1,23251,0.9767739727332546
0.25,1,23301,0.9671648184842802
0.25,1,23351,0.9636143621432854
0.25,1,23401,0.9790341480685318
0.25,1,23451,0.9742336928536005
0.25,1,23501,0.9651655281562654
0.25,1,23551,0.9780096475125019
0.25,1,23601,0.9693186823635426
0.25,1,23651,0.9529313367526973
0.25,1,23701,0.9519779911603496
0.25,1,23751,0.9629390948324772
0.25,1,23801,0.9718678912045665
0.25,1,23851,0.9670688442490452
0.25,1,23901,0.9420783732795024
0.25,1,23951,0.936720546961476
0.25,1,24001,0.9457473882266949
0.25,1,24051,0.9544466738709471
0.25,1,24101,0.9324713592320875
0.25,1,24151,0.9182285735286875
0.25,1,24201,0.9494113862671606
0.25,1,24251,0.9541557472792233
0.25,1,24301,0.9587889446765211
0.25,1,24351,0.9173845419019092
0.25,1,24401,0.974656383032364
0.25,1,24451,0.9653361807979209
0.25,1,24501,0.9496532361647783
0.25,1,24551,0.9589155662643284
0.25,1,24601,0.9424611017081115
0.25,1,24651,0.9693269814425804
0.25,1,24701,0.949199660498133
0.25,1,24751,0.9418088784943331
0.25,1,24801,0.9513874993875207
0.25,1,24851,0.9640802983286642
0.25,1,24901,0.9243191229614884
0.25,1,24951,0.967333972357817
0.25,1,25001,0.960554243809136
0.25,1,25051,0.9433150351642308
0.25,1,25101,0.9450192440015421
0.25,1,25151,0.9644254570132058
0.25,1,25201,0.9552431826572679
0.25,1,25251,0.9596006295162988
0.25,1,25301,0.9719660255475661
0.25,1,25351,0.9715191925792931
0.25,1,25401,0.9696095460508767
0.25,1,25451,0.9444751785915126
0.25,1,25501,0.9551617065548976
0.25,1,25551,0.9797437026675448
0.25,1,25601,0.9747478871224299
0.25,1,25651,0.9735147806312271
0.25,1,25701,0.9663960673789831
0.25,1,25751,0.9674415043307726
0.25,1,25801,0.9684006782750681
0.25,1,25851,0.9734111318368712
0.25,1,25901,0.9623938286312854
0.25,1,25951,0.9724358443029328
0.25,1,26001,0.9232627853706982
0.25,1,26051,0.9589861409310043
0.25,1,26101,0.9155608614833303
0.25,1,26151,0.9398146305347836
0.25,1,26201,0.9495819741713366
0.25,1,26251,0.9579665966378218
0.25,1,26301,0.9748261099280987
0.25,1,26351,0.9751954850015195
0.25,1,26401,0.9724781178185768
0.25,1,26451,0.9645437431256155
0.25,1,26501,0.9543651244742797
0.25,1,26551,0.9049138110168713
0.25,1,26601,0.9169626571566795
0.25,1,26651,0.9176028259776451
0.25,1,26701,0.8878350706064301
0.25,1,26751,0.9342733697243227
0.25,1,26801,0.9263228611061737
0.25,1,26851,0.9469094397511726
0.25,1,26901,0.9555840764726239
0.25,1,26951,0.935754127388152
0.25,1,27001,0.9246226535360902
0.25,1,27051,0.9538973740753826
0.25,1,27101,0.9629511304960424
0.25,1,27151,0.9636111433223068
0.25,1,27201,0.9448179703766008
0.25,1,27251,0.9287260573305939
0.25,1,27301,0.9445275511237093
0.25,1,27351,0.9066242652883787
0.25,1,27401,0.926651663395416
0.25,1,27451,0.9236160154015615
0.25,1,27501,0.9422054073593299
0.25,1,27551,0.9079113610102417
0.25,1,27601,0.8398856719019969
0.25,1,27651,0.9329426011733061
0.25,1,27701,0.9340858251461739
0.25,1,27751,0.9631341816846067
0.25,1,27801,0.9648465468345229
0.25,1,27851,0.9621051500635309
0.25,1,27901,0.9794834915878374
0.25,1,27951,0.97744222424811
0.25,1,28001,0.9743589781916343
0.25,1,28051,0.9607753802792293
0.25,1,28101,0.9544611951377262
0.25,1,28151,0.930658000886924
0.25,1,28201,0.9647160024360191
0.25,1,28251,0.9793913514322947
0.25,1,28301,0.9741599158794718
0.25,1,28351,0.9565929202135429
0.25,1,28401,0.968943852253555
0.25,1,28451,0.9657026529081894
0.25,1,28501,0.9678825234186557
0.25,1,28551,0.9603749937195979
0.25,1,28601,0.959140164148028
0.25,1,28651,0.9705072523225865
0.25,1,28701,0.9756951281291275
0.25,1,28751,0.9774852984273719
0.25,1,28801,0.9685436425586049
0.25,1,28851,0.9637548426590357
0.25,1,28901,0.965540212664712
0.25,1,28951,0.9608289103316463
0.25,1,29001,0.9757361026171963
0.25,1,29051,0.9768918019203304
0.25,1,29101,0.9750943764903943
0.25,1,29151,0.9763747355484417
0.25,1,29201,0.9461325008044346
0.25,1,29251,0.9393810941569315
0.25,1,29301,0.9483407873143738
0.25,1,29351,0.9605660780044556
0.25,1,29401,0.945313402215508
0.25,1,29451,0.9012018437051795
0.25,1,29501,0.9340591109877956
0.25,1,29551,0.8503069066404437
0.25,1,29601,0.9468651997856211
0.25,1,29651,0.9438764513917216
0.25,1,29701,0.9186185618705813
0.25,1,29751,0.8757114180877141
0.25,1,29801,0.8696410109356669
0.25,1,29851,0.8721642932686754
0.25,1,29901,0.8863084853767751
0.25,1,29951,0.9237418484256151
0.25,1,30001,0.9592243810562056
0.25,1,30051,0.9552252239067912
0.25,1,30101,0.9305837806056027
0.25,1,30151,0.9665495012766798
0.25,1,30201,0.97011300895505
0.25,1,30251,0.9706950632966992
0.25,1,30301,0.9719701607898708
0.25,1,30351,0.9723692949548551
0.25,1,30401,0.9784932196281388
0.25,1,30451,0.9698685963303492
0.25,1,30501,0.9745211224567693
0.25,1,30551,0.9656376315288874
0.25,1,30601,0.963995576677064
0.25,1,30651,0.974948282405183
0.25,1,30701,0.9625946994177701
0.25,1,30751,0.9560656737814163
0.25,1,30801,0.9576314254638971
0.25,1,30851,0.9490728271816561
0.25,1,30901,0.9675139499546171
0.25,1,30951,0.9743634155244425
0.25,1,31001,0.9478527385783442
0.25,1,31051,0.9682768144915773
0.25,1,31101,0.9768246960764153
0.25,1,31151,0.9682140250553738
0.25,1,31201,0.9739442859609826
0.25,1,31251,0.970826660435119
0.25,1,31301,0.9780659492306263
0.25,1,31351,0.9632498776094869
0.25,1,31401,0.9760905253908767
0.25,1,31451,0.9733054622372111
0.25,1,31501,0.9574285111401375
0.25,1,31551,0.9798810108263438
0.25,1,31601,0.962201245629885
0.25,1,31651,0.9390165000487722
0.25,1,31701,0.9380862939591066
0.25,1,31751,0.9508241943009045
0.25,1,31801,0.9157823860234328
0.25,1,31851,0.9704945227200776
0.25,1,31901,0.9330069120372878
0.25,1,31951,0.9555131214908071
0.25,1,32001,0.9301376681194248
0.25,1,32051,0.9571960655515162
0.25,1,32101,0.9715384861847611
0.25,1,32151,0.9537214385326946
0.25,1,32201,0.9569127759708311
0.25,1,32251,0.9313554015191319
0.25,1,32301,0.9107575323497425
0.25,1,32351,0.9618982397131258
0.25,1,32401,0.957471485313512
0.25,1,32451,0.936745408631192
0.25,1,32501,0.981174162827609
0.25,1,32551,0.9618330688954562
0.25,1,32601,0.9532667418904859
0.25,1,32651,0.968516811599491
0.25,1,32701,0.9485337039074179
0.25,1,32751,0.9268386616282694
0.25,1,32801,0.9114012312878027
0.25,1,32851,0.9482404522869143
0.25,1,32901,0.95399729262673
0.25,1,32951,0.9470178153140074
0.25,1,33001,0.9684266224213987
0.25,1,33051,0.9423421757711203
0.25,1,33101,0.9273875580848433
0.25,1,33151,0.9523551145460376
0.25,1,33201,0.9552920732292607
0.25,1,33251,0.9133737230084564
0.25,1,33301,0.9693766182887796
0.25,1,33351,0.9257263161109158
0.25,1,33401,0.9084260894887202
0.25,1,33451,0.8904949201998219
0.25,1,33501,0.8182186450239137
0.25,1,33551,0.9176864272931962
0.25,1,33601,0.9259758758881321
0.25,1,33651,0.907455636202226
0.25,1,33701,0.9109159305162133
0.25,1,33751,0.9130576366755112
0.25,1,33801,0.9310975991831058
0.25,1,33851,0.9530974618046308
0.25,1,33901,0.9439110090740734
0.25,1,33951,0.9506412059117747
0.25,1,34001,0.9749887520903562
0.25,1,34051,0.980085282623475
0.25,1,34101,0.9723973041197888
0.25,1,34151,0.9551416277135026
0.25,1,34201,0.9817690265666473
0.25,1,34251,0.9776143528063049
0.25,1,34301,0.9730012676823048
0.25,1,34351,0.968463565592214
0.25,1,34401,0.9629753568493407
0.25,1,34451,0.9709049426369365
0.25,1,34501,0.9720025549612756
