sigma,step,phi
0.0,13651,0.9662552077598516
0.0,13676,0.962725786917062
0.0,13701,0.9572533852091208
0.0,13726,0.9822408057594413
0.0,13751,0.9791671720614347
0.0,13776,0.9811529681889661
0.0,13801,0.9765748151926018
0.0,13826,0.9606898553007459
0.0,13851,0.974584030500087
0.0,13876,0.9813932102670327
0.0,13901,0.9753986063317329
0.0,13926,0.9791857901591505
0.0,13951,0.9620479824608389
0.0,13976,0.9703392332799254
0.0,14001,0.9569236379765704
0.0,14026,0.9863450691513836
0.0,14051,0.9783613830958195
0.0,14076,0.9770882129341176
0.0,14101,0.9623275896707394
0.0,14126,0.9827841134026014
0.0,14151,0.97549811742087
0.0,14176,0.9727810370945235
0.0,14201,0.9721582617591688
0.0,14226,0.9812513151320688
0.0,14251,0.9486175207605818
0.0,14276,0.9221402087281573
0.0,14301,0.9564059855651244
0.0,14326,0.9638179753966571
0.0,14351,0.9853702993848296
0.0,14376,0.9644094892345998
0.0,14401,0.9697444025636426
0.0,14426,0.9793023914452205
0.0,14451,0.9537450545205517
0.0,14476,0.9567969490740129
0.0,14501,0.9772031826804136
0.0,14526,0.9824271995820838
0.0,14551,0.9802673932823368
0.0,14576,0.980798143874035
0.0,14601,0.9654626297822833
0.0,14626,0.9756506861080729
0.0,14651,0.9835690372555712
0.0,14676,0.9756875547476613
0.0,14701,0.973043820751145
0.0,14726,0.9797103836733813
0.0,14751,0.9672979967314324
0.0,14776,0.9656212404988621
0.0,14801,0.9642732923834157
0.0,14826,0.9787104818715329
0.0,14851,0.9763197351884347
0.0,14876,0.9825633843405005
0.0,14901,0.9766127315202555
0.0,14926,0.9625263690713406
0.0,14951,0.9747350884085998
0.0,14976,0.9851806971142819
0.2,1,0.052601536516074
0.2,26,0.2032053497193787
0.2,51,0.24897692097037552
0.2,76,0.3765537403899861
0.2,101,0.5503843445830772
0.2,126,0.7646061090840821
0.2,151,0.8653619739648942
0.2,176,0.902765854695932
0.2,201,0.8729513923678568
0.2,226,0.9361674073634778
0.2,251,0.9593046327398785
0.2,276,0.9679697234945305
0.2,301,0.9568904852998728
0.2,326,0.9779765882897661
0.2,351,0.9725695879919536
0.2,376,0.9791733785572285
0.2,401,0.962655656752494
0.2,426,0.9662596787485965
0.2,451,0.9722621618702036
0.2,476,0.9795894320748489
0.2,501,0.9744907489953044
0.2,526,0.9721622766686886
0.2,551,0.9706957740009543
0.2,576,0.9751342085772051
0.2,601,0.9795449805562638
0.2,626,0.9817092809623658
0.2,651,0.9699562522082358
0.2,676,0.9599735912471152
0.2,701,0.9741288582893107
0.2,726,0.9761364594009784
0.2,751,0.9670809397909943
0.2,776,0.977737160913912
0.2,801,0.9748133869004739
0.2,826,0.9680166925258538
0.2,851,0.9776725847797133
0.2,876,0.9648130916215707
0.2,901,0.9786585739373821
0.2,926,0.9731566557173011
0.2,951,0.9536841827200444
0.2,976,0.9424583086151009
0.2,1001,0.9579583800069581
0.2,1026,0.9627231895436028
0.2,1051,0.977694478562743
0.2,1076,0.9790072824787821
0.2,1101,0.9752977211682528
0.2,1126,0.9829451875726966
0.2,1151,0.9767581519838507
0.2,1176,0.9724404412138522
0.2,1201,0.9734163363932661
0.2,1226,0.9707699591414942
0.2,1251,0.9579795806069502
0.2,1276,0.9772825675072797
0.2,1301,0.9796500422758738
0.2,1326,0.9687448140841336
0.2,1351,0.9651344334620384
0.2,1376,0.9586730473823137
0.2,1401,0.9402278856886847
0.2,1426,0.9410955746652734
0.2,1451,0.9620056494782188
0.2,1476,0.9700502175115651
0.2,1501,0.9728474081952976
0.2,1526,0.9752473538114873
0.2,1551,0.9576363215086233
0.2,1576,0.9669395539725896
0.2,1601,0.9767359453506727
0.2,1626,0.9684718192105966
0.2,1651,0.966717747718586
0.2,1676,0.9774907614464599
0.2,1701,0.9705193672800788
0.2,1726,0.9758449374705046
0.2,1751,0.9755050809835712
0.2,1776,0.9690713184111013
0.2,1801,0.9453854545369769
0.2,1826,0.9468004795886592
0.2,1851,0.9418953045256437
0.2,1876,0.9487058372899357
0.2,1901,0.9616706227790123
0.2,1926,0.9768869897625274
0.2,1951,0.9674143338896701
0.2,1976,0.9547641005495077
0.2,2001,0.9462259998853465
0.2,2026,0.962609346304626
0.2,2051,0.9685577062405687
0.2,2076,0.9762998257723239
0.2,2101,0.9730378105560594
0.2,2126,0.9687227014526034
0.2,2151,0.968451516555859
0.2,2176,0.976073463255297
0.2,2201,0.971841729863674
0.2,2226,0.971858183891954
0.2,2251,0.9595712838771792
0.2,2276,0.9669002983977071
0.2,2301,0.9614767982026378
0.2,2326,0.9784729486160768
0.2,2351,0.9739729452757842
0.2,2376,0.9646044488081843
0.2,2401,0.965101658658538
0.2,2426,0.9763889404600797
0.2,2451,0.977337185956563
0.2,2476,0.9787594232416884
0.2,2501,0.9713302928066282
0.2,2526,0.9636885997292406
0.2,2551,0.9835921567509613
0.2,2576,0.9702589407177908
0.2,2601,0.9723543799934697
0.2,2626,0.9693067502104505
0.2,2651,0.9600014086931733
0.2,2676,0.9759439141160022
0.2,2701,0.9696296557721209
0.2,2726,0.9323304347636947
0.2,2751,0.9600526633602224
0.2,2776,0.9743014744332301
0.2,2801,0.9733638143637745
0.2,2826,0.9559160098303606
0.2,2851,0.9583091800116018
0.2,2876,0.9746519405341576
0.2,2901,0.9788067589251085
0.2,2926,0.9785362819779572
0.2,2951,0.9711470088223051
0.2,2976,0.9659233923730898
0.2,3001,0.9703464157127095
0.2,3026,0.9751200741379004
0.2,3051,0.964051877655926
0.2,3076,0.9703135530510731
0.2,3101,0.9613834383633784
0.2,3126,0.9735011858276734
0.2,3151,0.9463971241474768
0.2,3176,0.9523879984223975
0.2,3201,0.9705354173888633
0.2,3226,0.9740834040344455
0.2,3251,0.9763702348211925
0.2,3276,0.9815721044006375
0.2,3301,0.9731427186317824
0.2,3326,0.972930853665687
0.2,3351,0.977103148009265
0.2,3376,0.9625511943388445
0.2,3401,0.9648131328156551
0.2,3426,0.9814606335191519
0.2,3451,0.9737189779175562
0.2,3476,0.9840166067723576
0.2,3501,0.9728374140619885
0.2,3526,0.9750839966650195
0.2,3551,0.9608522905419948
0.2,3576,0.9702594454215873
0.2,3601,0.9576823494044863
0.2,3626,0.946553210649128
0.2,3651,0.9721893805762812
0.2,3676,0.9672740775858801
0.2,3701,0.9697864354094216
0.2,3726,0.974732870477648
0.2,3751,0.9458612547339983
0.2,3776,0.9693863361708004
0.2,3801,0.9742950646585643
0.2,3826,0.9634705493063492
0.2,3851,0.9600408452509107
0.2,3876,0.9503868170666668
0.2,3901,0.9553879262363482
0.2,3926,0.9708930517750962
0.2,3951,0.9668885428182964
0.2,3976,0.9689466215002599
0.2,4001,0.9857630174427106
0.2,4026,0.9809481671505544
0.2,4051,0.9750981866271876
