N,noise,sigma_std,phi_mean,chi_temporal,chi_between,chi_pooled,binder,max_drift,failed_drift,n
1600,0.5,0.025,0.9832551879503176,0.00694438014633425,4.598458856552665e-05,0.006990364734899777,0.6666606586770158,0.0009705996383314,0,16
1600,0.5,0.05,0.9829765739934125,0.007952458336968338,5.2558312907637844e-05,0.008005016649875976,0.6666597840899802,0.0014248566060561,0,16
1600,0.5,0.075,0.9830175750094783,0.008448388851900468,9.869099361069171e-05,0.00854707984551116,0.6666593297423897,0.0009798797312174,0,16
1600,0.5,0.1,0.9827811901635573,0.007848298047319346,9.158723208759684e-05,0.007939885279406943,0.6666598367502194,0.0007016909900392,0,16
1600,0.5,0.125,0.9825479049562448,0.00766318812794875,0.00011916953184119512,0.007782357659789945,0.6666599684187957,0.0005897774983991,0,16
1600,0.5,0.15,0.9821243484025879,0.009341724635114623,0.00017546344245370545,0.00951718807756833,0.6666584741576744,0.0012973047506072,0,16
1600,0.5,0.175,0.9814185231657055,0.011144589018441398,0.00010536398939987507,0.011249953007841273,0.6666569796955804,0.0014512691207125,0,16
1600,0.5,0.2,0.9800367676731412,0.016000678520899925,0.0007697085272168286,0.016770387048116755,0.6666522022801118,0.0011966781881306,0,16
1600,0.5,0.225,0.9777848089286987,0.027648066008101324,0.0029875425974260623,0.030635608605527387,0.6666402003809528,0.0017317331376376,0,16
1600,0.5,0.25,0.9719230555067746,0.08084905886776017,0.006513214330472551,0.08736227319823273,0.6665907440795402,0.003657692072077,0,16
1600,0.5,0.275,0.9607680228485752,0.28305835713242633,0.015441912730404246,0.29850026986283057,0.6664059308981589,0.0090720536334615,0,16
1600,0.5,0.3,0.9406356147559034,0.946261047269148,0.056532702230583876,1.0027937494997319,0.6658157745290889,0.0281650643730961,1,16
1600,0.5,0.325,0.9147305412279595,1.6776836455435817,0.1126146770049479,1.7902983225485296,0.6650309610957403,0.0305356090885021,3,16
1600,0.5,0.35,0.8754711657293806,4.221551054450535,0.18532375738252532,4.40687481183306,0.6627120222810574,0.0703147103182625,6,16
1600,0.5,0.375,0.820000108540721,7.924865312747864,0.5676534093041203,8.492518722051983,0.6584317586357313,0.0761096908248546,6,16
1600,0.5,0.4,0.7253741675823812,17.83717881210654,0.773276298962307,18.61045511106885,0.6458512478193295,0.0517357170565866,11,16
1600,0.5,0.425,0.6419231622806314,25.08022023133019,1.8313017902846007,26.911522021614793,0.6311699718984132,0.1519829349674105,12,16
1600,0.5,0.45,0.5369697315573865,31.048201012193616,2.7632218192746136,33.81142283146823,0.6042914013725692,0.1811015228786109,13,16
