N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
200,0.4,0.5,2,0.6986641547734874,0.5018959206286029,0.2708732670076648,0.9978072403512368,0.0680674538931874,0.4228163185312337
200,0.4,0.5,3,0.6988039242892142,0.50274842343628,0.2743918364778249,0.9978596169133176,0.0382490694197092,0.4138742184108796
200,0.4,0.5,6,0.7619658543623385,0.5975496520383318,0.3856933443665224,0.9981855886822,0.0732035716950318,0.372007979488772
200,0.4,0.5,8,0.7507846330868798,0.5810938693405123,0.3665247920864496,0.9983252230367016,0.0204886616422532,0.3813985568014397
200,0.4,0.5,9,0.7728477612570843,0.6116516722552932,0.3990660772954899,0.9980905552428512,0.0510590436778558,0.3872550472288471
200,0.4,0.5,10,0.7276009888006081,0.5460723364578759,0.3239769996845228,0.9982798909659206,0.0259801639478581,0.4026574232025843
200,0.4,0.5,11,0.7954835085113198,0.6438688423838661,0.4352319843583458,0.9979826341545608,0.0417089149476512,0.3865283589389938
200,0.4,0.5,12,0.6756257689773011,0.4739347587121035,0.2472150239147131,0.9981583178268408,0.0604460638920983,0.4307443807518896
200,0.4,0.5,14,0.7375199988198384,0.5610218407509009,0.3410768623216315,0.9985002034098764,0.0738186741532985,0.4066866892186491
200,0.4,0.5,15,0.7736936642972573,0.6140472402233008,0.4018048055435194,0.9984842720159758,0.1083268422022124,0.3849917771511428
200,0.425,0.5,1,0.6980630075340866,0.5075208385427828,0.2827481214068716,0.9984418768189776,0.0731525893481532,0.4165226529871507
200,0.425,0.5,2,0.667321079671929,0.461877998223414,0.2342053751097268,0.9980642860580472,0.0762230749252469,0.4299693632293326
200,0.425,0.5,3,0.6490928119332293,0.4383651591091409,0.2123989662855293,0.9979321320955904,0.0341163215098481,0.4353211503783781
200,0.425,0.5,4,0.671141891173145,0.4676541319954804,0.2425531408964554,0.9978473871518748,0.0223197686176203,0.4166855961879224
200,0.425,0.5,6,0.7082963107350894,0.514509509611007,0.284945317097768,0.9979998164010624,0.0561601063374622,0.4199782348685421
200,0.425,0.5,7,0.6798913434971752,0.4808979123599756,0.2564595251353397,0.9981372044931284,0.0330118224660732,0.4197657615518824
200,0.425,0.5,8,0.687407744044194,0.4865585103039279,0.2549773608438826,0.9978458755631808,0.0514755565012614,0.4221397686140469
200,0.425,0.5,11,0.7086462615121499,0.5146235647394182,0.2825179741695672,0.9976588345329368,0.045544244918694,0.4158028577970536
200,0.425,0.5,13,0.7196746502011405,0.5310395519085038,0.3021295946701425,0.9980429414504072,0.055014361380572,0.4158327635036608
200,0.425,0.5,14,0.6710469211562452,0.4641852308743677,0.2347539944892888,0.9980474432044336,0.0509466275959926,0.4385035881078675
200,0.425,0.5,16,0.6240904929585629,0.4127225973089278,0.1968034440811223,0.9983000389753296,0.0728828572993175,0.43234436729748
200,0.45,0.5,1,0.6012152645172751,0.3696301030554018,0.14657747981454,0.9964401962510984,0.0249195442136501,0.4679231472506033
200,0.45,0.5,2,0.6354184249822444,0.415831287304326,0.1877006351578586,0.9974782525240832,0.0284411749927857,0.4515830375456202
200,0.45,0.5,3,0.5489950782783668,0.3270883407222194,0.1309441355932101,0.997907375665878,0.032838743248283,0.4475674791032216
200,0.45,0.5,4,0.563978894571505,0.3356929072880329,0.1276341450511093,0.9978431001548208,0.0830373933043926,0.468467675881161
200,0.45,0.5,7,0.5378957232396755,0.3089572910177478,0.1124844525471826,0.9974171884008144,0.0263768264249287,0.4685294846106554
200,0.45,0.5,10,0.5896763682890547,0.3686473764067198,0.1575262477743829,0.997593684036021,0.032070579960298,0.4400609625790049
200,0.45,0.5,11,0.6378883012343759,0.4206791507920916,0.1939229028367251,0.9975731317762564,0.0335251658739632,0.440336827424834
200,0.45,0.5,12,0.5496522809701501,0.3310618955475323,0.1356892768724211,0.9978587024999044,0.0499348599996134,0.4431994054262731
200,0.45,0.5,13,0.570205575844421,0.34957373444747,0.1443925259604604,0.997838841305052,0.1036135576727483,0.4414243146926261
200,0.45,0.5,14,0.4785388467495897,0.2544768424320264,0.083736721402025,0.997414082726898,0.0270531905579604,0.4687989246268371
200,0.45,0.5,15,0.6064692634128525,0.3842343469115764,0.1641556488345981,0.9978113039993176,0.0473200912977231,0.455765675578015
200,0.45,0.5,16,0.5075576821258528,0.2787985309594619,0.0945302567673531,0.9973754341261564,0.0214934769100708,0.4640555657960482
400,0.3,0.5,3,0.9321268746733584,0.8713074729762975,0.7662113134248789,0.9978450890813968,0.0309059124740406,0.3024127744088631
400,0.325,0.5,4,0.8874363233189432,0.791062520000888,0.6352230297590008,0.9980079206360244,0.0337713660303261,0.3372960465302
400,0.325,0.5,7,0.9104010779766004,0.8308449472178592,0.6962870659144038,0.9968087296099072,0.0211967080668282,0.3204707037070454
400,0.325,0.5,12,0.8874853724137909,0.7931167774556156,0.6426809777662583,0.9984570366471336,0.0425963379912438,0.332954704352688
400,0.325,0.5,14,0.8995920843386626,0.8112178779165043,0.6637766355396317,0.9966858182378076,0.0221416874408888,0.3333810226520617
400,0.325,0.5,16,0.913625296256496,0.8361969156638541,0.7038501968947528,0.995601473515074,0.0201079993444653,0.3302926452692053
400,0.35,0.5,1,0.8712326615226306,0.763868980350194,0.5960099357286721,0.9978404171630814,0.0208715896215403,0.3274412199909999
400,0.35,0.5,2,0.8644343193538463,0.7526968167396079,0.5793137680670346,0.9984468634902596,0.0275829115612583,0.3599518813721729
400,0.35,0.5,5,0.8503945357232824,0.7299066806155621,0.5489035511545555,0.9986259006448696,0.0564513924887276,0.3414191613221334
400,0.35,0.5,7,0.8292359793596666,0.7006595772275296,0.5134007975195974,0.9991639447922483,0.0607214671422016,0.344096615756383
400,0.35,0.5,8,0.8512948986163948,0.729124653906526,0.5423236818600735,0.9980795807995808,0.0437775204640199,0.3579935756242521
400,0.35,0.5,11,0.8875381528074279,0.7903699088033124,0.6320252581150464,0.997659612907905,0.0285511335998759,0.3434007852578248
400,0.35,0.5,12,0.8572682718279903,0.7390974007249586,0.5564861894700747,0.9980678027779484,0.030159346382572,0.3576338805409136
400,0.35,0.5,14,0.8709527860295501,0.7686936716416402,0.6090338550673587,0.9992316885992524,0.0960322595603739,0.3531242143062231
400,0.375,0.5,1,0.8398374170322078,0.7157403145530072,0.5321444411478851,0.9990083832693448,0.0222688346825692,0.3547799652896019
400,0.375,0.5,3,0.844264724152585,0.7185279152321257,0.5295205656939886,0.9983916451738196,0.0281241540231372,0.3597349317072513
400,0.375,0.5,4,0.8052047979792294,0.6558974136279004,0.4451501555374607,0.9986036684281432,0.0239060217855647,0.3817356220210518
400,0.375,0.5,5,0.8148418770818308,0.6698981804272616,0.4611101959078966,0.9982954000907432,0.0352913987548122,0.3758748364137271
