N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.075,0.5,13,0.9581411095237576,0.9195251225700304,0.8502584275376683,0.9914191654627739,0.0013145293576086736,0.07575203201248579
100,0.075,0.5,14,0.9644822649124443,0.93128293078733,0.8707499970437892,0.9901742922880395,0.0034557533972201515,0.07814124986369893
100,0.075,0.5,15,0.9557271736234514,0.9149795764554696,0.8420212024306646,0.9909000639293886,0.019269836994067813,0.0743599173910103
100,0.075,0.5,16,0.9510215790516479,0.905989889944201,0.8257063145383503,0.9894467618067104,0.009424256079958448,0.0784504054467005
100,0.1,0.5,1,0.9600738874123744,0.9229532486970691,0.8557746131609895,0.9899015023069534,0.003080805258592445,0.10372698788240019
100,0.1,0.5,2,0.9636246621599632,0.9295316302099688,0.8671920800593529,0.9891982146787851,0.0022069383079820204,0.09659160731675123
100,0.1,0.5,3,0.9625920775998941,0.9274398452176991,0.8630509749881102,0.9868009410026143,0.006721487365416112,0.08431628272496607
100,0.1,0.5,4,0.9631479542213783,0.9285934994753661,0.8654298546727307,0.9881751462676548,0.01421624144486322,0.10000392234649925
100,0.1,0.5,5,0.9557057759647272,0.91454813186902,0.8402920804032328,0.9878983085148741,0.0004436768080392506,0.10204772001894619
100,0.1,0.5,6,0.9612613649429735,0.9250679649170125,0.8592098844671866,0.9885874847658599,0.010139469013002667,0.10062623471057879
100,0.1,0.5,7,0.9562542225411291,0.9161932877422332,0.8451240494539894,0.9921097694279429,0.006687823182891073,0.10310983832033614
100,0.1,0.5,8,0.9637625551884832,0.9298458242780755,0.8678599853507089,0.9891069704089174,0.0175888817117682,0.1046769169360673
100,0.1,0.5,9,0.9563503762577901,0.9159626017774817,0.8432497531014669,0.9897150659469903,0.01412696841235861,0.11019065097290445
100,0.1,0.5,10,0.9497639436962964,0.9060792871411965,0.8314025637083589,0.9964804940399135,0.035103892863856734,0.10372318086547816
100,0.1,0.5,11,0.9501033753975393,0.904714541192955,0.8248260226981452,0.9919283476671805,0.016958263746576274,0.11206210422022841
100,0.1,0.5,12,0.9620771593188758,0.9265645321717239,0.8617356041698122,0.9879182877155013,0.009863526672596379,0.10179180123705492
100,0.1,0.5,13,0.9603533858184911,0.9233806092602467,0.8562068665881818,0.9890812024112625,0.0005760418250487787,0.10027016492210629
100,0.1,0.5,14,0.9572313923141664,0.9173283558678756,0.8450317237136936,0.9872049916780447,0.0054906275769179835,0.10468029699342621
100,0.1,0.5,15,0.9529180570510365,0.9096151757904212,0.8323685008135658,0.9897136711341071,0.0016224824249123637,0.09882361465817557
100,0.1,0.5,16,0.9548084832526994,0.9133913146071619,0.8397578234982115,0.9913502716809224,0.00969084022741551,0.1054140927212482
100,0.125,0.5,1,0.9562641399334905,0.9164506184353756,0.8461590057480833,0.9931371655248455,0.0063529135940950665,0.13257068344975534
100,0.125,0.5,2,0.9614110841035938,0.9256880604208447,0.8612348136345654,0.992164957015498,0.0009403503602287699,0.12286410826454851
100,0.125,0.5,3,0.9547517865579496,0.9132014030697981,0.8390529150134036,0.9907272918577178,0.014427045279694739,0.11680623032295999
100,0.125,0.5,4,0.9605783949586039,0.9241218796685338,0.858422621995319,0.991415872614598,0.012674595759336382,0.1255995663524722
100,0.125,0.5,5,0.9641174259247022,0.9304375042369128,0.868804069854214,0.98888045773451,0.012847519269814422,0.12629751041439988
100,0.125,0.5,6,0.9571526835515757,0.9175125533196619,0.846398818728068,0.9901979861022511,0.017185248730220537,0.11987294981752748
100,0.125,0.5,7,0.957763171978205,0.9186626394650206,0.8483561090259573,0.9906427875389826,0.0023783929380966073,0.12914014706823598
100,0.125,0.5,8,0.9580336448042089,0.919297795023253,0.8499375994612368,0.9912388115578376,0.008683511228103513,0.13153220749954841
100,0.125,0.5,9,0.9554368358107995,0.9138626083516592,0.8385104543501019,0.9853019807591371,0.004520004180118886,0.13801628077126035
100,0.125,0.5,10,0.9574106617458845,0.917894156158395,0.8465928245914504,0.9898134540851605,0.01655684239770483,0.1309193500023191
100,0.125,0.5,11,0.9558346724837095,0.9146299754779302,0.8399524127696739,0.9861188691778384,0.0020208086911088774,0.14144845533037687
100,0.125,0.5,12,0.9527827482829289,0.9097383158321322,0.8333295279553399,0.992002376538032,0.00035210455907142,0.13038974772339754
100,0.125,0.5,13,0.9485714187855617,0.9017622216016198,0.8193022292186386,0.9914649255325322,0.015280106020333917,0.12659233904598327
100,0.125,0.5,14,0.9563475932568244,0.915738464482956,0.8423356494853337,0.9878552593456916,0.014488510359852103,0.13154755081025168
100,0.125,0.5,15,0.9573455809724659,0.9178104513495735,0.8465951539752057,0.988864417133878,0.01640096928060919,0.13463579892807995
100,0.125,0.5,16,0.9566545621396632,0.9167859004770149,0.8456307847119838,0.9920758760171285,0.005102667511847181,0.1295285177222288
100,0.15,0.5,1,0.947791483861869,0.9001056508361635,0.8159283229401357,0.9903887302017844,0.011491559497730064,0.15961763145716104
100,0.15,0.5,2,0.958994134268666,0.921172864076712,0.853295838466275,0.9913153118059292,0.007727411331949763,0.15005765750801542
100,0.15,0.5,3,0.9595418016852453,0.9217661190138035,0.8531708046547283,0.9886424872275892,0.00810036012139792,0.15454299372882604
100,0.15,0.5,4,0.9575748603591426,0.9177797560123697,0.8451370187704524,0.9835738314634563,0.008317315141631476,0.15208209181505744
100,0.15,0.5,5,0.954704543858714,0.9129592071617019,0.838344252233467,0.989926924763493,0.01932969333114909,0.14668185226757877
100,0.15,0.5,6,0.9647546561930868,0.9315876191709671,0.8706373200290062,0.9885192866069171,0.004768435087334377,0.1483185330083304
100,0.15,0.5,7,0.9594176084067976,0.9214008004496529,0.8520474945678237,0.986505898823483,0.010549736084176975,0.15532501717046718
100,0.15,0.5,8,0.95852596883976,0.9197561227929631,0.8492154988183614,0.9864766512341184,0.004797801768375964,0.14132310517204102
100,0.15,0.5,9,0.9556190254411299,0.9150505402066549,0.843032209966896,0.9921005289977678,0.016580379689281277,0.14281353477769154
100,0.15,0.5,10,0.9563758744659954,0.9159881724522223,0.8432953066183021,0.9894749782172976,0.011832382733327984,0.13791778715053749
100,0.15,0.5,11,0.9554574210389095,0.9141641554434624,0.8398433560819271,0.9894470459982513,0.010695569888933387,0.1773188541705689
100,0.15,0.5,12,0.9556221229294344,0.9168477689897298,0.8491131852265926,0.9962400577752795,0.01091683281960032,0.1604983737254278
100,0.15,0.5,13,0.9586248975642635,0.9198763390437789,0.8492619598171547,0.9862706486210142,0.0003227503082103844,0.16216667609735053
100,0.15,0.5,14,0.9589291428148506,0.920405790101182,0.8500636001340481,0.9855494080744184,0.00445881376543944,0.1587840599204071
100,0.15,0.5,15,0.9579594135341667,0.9187692215842784,0.8476681698331958,0.9878521301291259,0.002753353243017398,0.1619296375437584
100,0.15,0.5,16,0.9595689832058848,0.9217087578698065,0.8527538466346728,0.986942730946977,0.0076746871325680255,0.15629657076582962
100,0.175,0.5,1,0.9544078104907944,0.9119455290052394,0.8351703522028688,0.9864289701081326,0.005923138846672282,0.1870814505816235
100,0.175,0.5,2,0.9512675604099717,0.9066870628826046,0.8275814054443672,0.9904684069046151,0.015672574031057485,0.178080179503066
100,0.175,0.5,3,0.9540830710718006,0.9115981105554003,0.8353283588139622,0.9887019031267537,0.004610088230882492,0.1813605857539599
100,0.175,0.5,4,0.9593571235410389,0.9213921752145326,0.8523960212139713,0.9879294184985604,0.013664997177437965,0.1793426602685701
100,0.175,0.5,5,0.9588946912979945,0.9204248407378968,0.8502882247822261,0.9860817492983595,0.010908400443825461,0.1714318706689429
100,0.175,0.5,6,0.955283436978325,0.9138741484297972,0.8394403541577762,0.9888984368654861,0.008762561661159629,0.17564393582062696
100,0.175,0.5,7,0.9411145542858016,0.888536271432438,0.7981610905205292,0.9929945378148265,0.00556111382498381,0.18046093640796707
100,0.175,0.5,8,0.959847879415219,0.9220655315908626,0.8528184503497456,0.9826139897158069,0.005651509686939393,0.16627673691888184
100,0.175,0.5,9,0.9529508265825883,0.910045664490425,0.8340732509784715,0.9917468216632942,0.016588185489309293,0.17809465347609799
100,0.175,0.5,10,0.9616049144427703,0.9255795451263265,0.8597313854376011,0.9878460508660435,0.007934985752566903,0.16445109996682586
100,0.175,0.5,11,0.9535517159025654,0.9108812528262066,0.8347406637820494,0.9912063492639401,0.02781533192413921,0.19656861101841377
