sigma,x,y,theta,w
0.3,11.800659185315832,13.090316907897268,2.6013885198693196,0.9690807906189813
0.3,14.648345015744884,19.57188100368767,3.236352819498075,0.8610654647422605
0.3,8.679884651375742,3.2379838597529798,3.1149727527323745,0.29381625098877806
0.3,6.103722848389615,2.0654783430420443,2.5518411283999067,0.8867358567780312
0.3,8.027286932682438,16.864252776036682,2.8572497330805735,0.054032253026128636
0.3,9.865693814294737,19.0111910821202,2.904635580992402,0.7271850957516726
0.3,6.172772644760655,0.8900864348949279,2.832325071628434,0.9671754870425173
0.3,4.729290186687081,3.4126450497603544,2.5488285075945236,0.7766800997736563
0.3,11.305258517996753,17.96478669585174,2.7648748530072265,0.5228848379018936
0.3,3.727252855162762,2.1232778271639074,2.4187602997028987,0.9910229964614496
0.3,8.595910477263422,0.5243359136682624,2.7845001740848776,0.5454117298100474
0.3,4.339173390272373,3.6606805590105593,2.4891705948632077,0.9489523065039889
0.3,5.94663256430141,1.1188866035267548,2.906355365284413,0.9847603039298753
0.3,11.444186661929868,18.904473771936896,3.1405418773604152,0.9491560583075254
0.3,14.768487403584924,17.33642078872562,3.2954478643629415,0.16333747373678859
0.3,8.324039884591565,4.951125993326646,2.583800963552897,0.4263292996900028
0.3,6.3034639645209545,18.379220353776937,2.935858763010523,0.7535595152174245
0.3,16.18718278856475,18.575697803739878,3.0243301855332128,0.920355415368999
0.3,7.2328334214333,3.2605355905223705,2.4160418312237977,0.03820321528438029
0.3,5.061075627231455,19.270693652955984,2.930301311340014,0.7015470998808175
0.3,5.513331810597315,2.240771236689239,2.648903750892038,0.6379244588479993
0.3,7.873530174994143,4.496501260027842,2.334113631914909,0.31465248129760587
0.3,6.18901648576543,3.3775618205166835,2.6701895095966055,0.9772402120974076
0.3,3.776587652786538,2.494213115524273,2.7729537235976114,0.9382517915299872
0.3,10.586271691471831,19.999646493611106,3.075474323572834,0.9729284942410777
0.3,6.330256705132766,3.4638944977163906,2.709491491754914,0.8553957266809256
0.3,7.310401694231336,4.659843472077313,2.4964317676935965,0.398335759914798
0.3,6.963910417309726,19.941869360731555,2.9580956098670805,0.9841651938225563
0.3,11.55113764407472,15.1920015994425,2.4345327990813166,0.47216888366048176
